to,from,symbol,value,origin,tx_hash,gas_used,block_hash,fiat_value,action_type,code_address,eth_usd_pair.price.value,eth_usd_pair.price.decimals,eth_usd_pair.timestamp,eth_usd_pair.aggregator_round_id,fiat_decimals,block_timestamp,gas_price,score_from,score_to
0x1b1f420590d19b6630e2ddcc6674c5c5364dfd42,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,AXS,4.91583157,0x1b1f420590d19b6630e2ddcc6674c5c5364dfd42,0x61fcfdab50e942e1ac56403212ed9445f9aff899cfd31cc3916d751a396a6a5b,221286,0x4aaf9d81c431abf6be1c2d3c7321447b7476d25a81619b587b26ee45d2451644,78287452510767324630000000000,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636304127,460602838181,8,13567,07/11/2021 17:42:59,,,
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0xf0e6dd871741f0d5e9934eec1bf0a8391e3a9790,AXS,11.20,0xf0e6dd871741f0d5e9934eec1bf0a8391e3a9790,0x9c7fae1925f83422e125da24e287429f173f720461b5901ffc2b085f2ed2112b,155505,0xf951188615f9f493660e80344e643b34744ef235f19af56cc7ca49359d6ec993,"1,78355E+29",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636304127,460602838181,8,13567,07/11/2021 17:51:40,124723976764,65,
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0xf43257df6b2066c866ceee61218ee1ee50d3be6f,AXS,3.070052179627794859,0xf43257df6b2066c866ceee61218ee1ee50d3be6f,0x2bcfbbdc516a09b1237bcef1cf6869060d359cee5ddc9e4eb81a3ff63abefafd,155529,0xf94aaf7bbffbbab03b69783c01367b57df97b02311fe41528239858019355533,4890670450621377675283908492,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,25,1636304127,460602838181,8,13567,07/11/2021 17:53:12,94859914586,73,
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0x38827a3f24744f59928c9f5262c802565fa779e6,AXS,2.82070843,0x38827a3f24744f59928c9f5262c802565fa779e6,0xd1e58ca8b12b13f43ce81fff3f3a5b4cc3b94f14e265f81c5cd153ddaf065b03,155517,0x2d22dda5dd142e2123ce099cffc51fbe9f18615b0a592bce63bcaeea2007a9a4,4493459576993934840000000000,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,25,1636304127,460602838181,8,13567,07/11/2021 17:53:54,89000000000,70,
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0xd39d1cf74bddf79fab3d4f16dd7187c8c20447f3,AXS,15.90484183,0xd39d1cf74bddf79fab3d4f16dd7187c8c20447f3,0x8dca9948264129490ae44049f1db37a58e572b0fe2b22ecc9124d073249a21d9,155517,0xb43e269361e58a22c70f5e89ba23f525861e765bd3687eebba756546172138a4,253383156646177872140000000000,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636307704,460755371817,8,13568,07/11/2021 17:55:04,98281148356,72,76
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0x9347c05713b45159d0cce82d973e7c46546161af,AXS,2.7324,0x9347c05713b45159d0cce82d973e7c46546161af,0x065ff236885c96da248f0b97d61ca077ba3760046b4964e58f319dd65a1ff69d,155505,0x6763f869752c8db6e3a2d6dee5f4617ff4dcdcb35125e2383a53734683e16799,"4,35304E+28",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636307704,460755371817,8,13568,07/11/2021 17:55:35,110375969117,90,76
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0x88c1e5fd54a1b6330e98d280988e051778d71116,AXS,9.589357581809002512,0x88c1e5fd54a1b6330e98d280988e051778d71116,0x5de6cac367caa4612001c75890438263b023dc3f492679ab7fd8660789fbaa31,155529,0x0c6d980073005332a95475639a62adcd5a59075f0524a8bbae7ad17511e48370,152932387430617418641156875216,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636307704,460755371817,8,13568,07/11/2021 17:58:16,122774177547,74,76
0x28c6c06298d514db089934071355e5743bf21d60,0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,AXS,2979.00,0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,0x2c98880e236b18107786abdee525e7067cca0d6cecbfc25fefdb92e092b186e0,29717,0x95f3d63dfb015d4fc1ba41aeaece78f5e8a5b5441cfeed4ef64c91bac68c2d3e,"4,75463E+31",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636307704,460755371817,8,13568,07/11/2021 18:02:53,174000000000,96,85
0x28c6c06298d514db089934071355e5743bf21d60,0x924cd9b60f4173dcdd5254ddd38c4f9cab68fe6b,SLP,0.0000000000017,0x924cd9b60f4173dcdd5254ddd38c4f9cab68fe6b,0x424e08541c60864771d69a5dcce443b56c4b60baa43b4da5b4ffd7076a08dbb0,29647,0x39a17ebb1f63d80409e5401ee92942ea0c75c979829bfcb81fea070b30d63117,13442515400000,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636307704,460755371817,8,13568,07/11/2021 18:05:12,165000000000,68,85
0x2a8bc6c66fc5cda260290b828cb69d8407d4ea22,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,SLP,0.000000000000008756,0x2a8bc6c66fc5cda260290b828cb69d8407d4ea22,0x8dfa4be0ee40f02a4db32a0bb1a79384fd791229cf8225cac9998d89950cefa9,221193,0x5fadc7448a4cffd1379cdfdb299035d98722d2016cdcd98de179007958826165,69195148088,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636307704,460755371817,8,13568,07/11/2021 18:07:08,83780021753,76,74
